date_produced,feed_source,article_url,slug,status
2026-07-27,surfer.com,https://www.surfer.com/news/great-white-shark-newport-beach-video,20260727_newport-white-shark-breach,produced
2026-07-27,surfer.com,https://www.surfer.com/news/bouvet-island-worlds-biggest-wave,20260727_bouvet-island-biggest-wave,produced
2026-07-27,surfer.com,https://www.surfer.com/news/can-the-wsl-finally-unlock-pro-longboardings-potential,20260727_wsl-longboard,produced
2026-07-27,surfer.com,https://www.surfer.com/news/lamine-yamal-gabriel-medina-surf-video,20260727_yamal-medina-surf,produced
2026-07-28,surfer.com,https://www.surfer.com/news/hurricane-genevieve-southern-california-surf,20260728_category-5-hurricane-genevieve-hurls,produced
2026-07-28,surfertoday.com,https://www.surfertoday.com/surfing/murph-the-surf,20260728_murph-the-surf-the-extraordinary,produced
2026-07-28,surfer.com,https://www.surfer.com/news/russia-manmade-waves-lake-surfing-video,20260728_1-600-foot-waves-russian-submarine,produced
2026-07-29,tracksmag.com.au,https://tracksmag.com.au/generations-of-core-gary-hughes,20260729_generations-of-core-gary-hughes,produced
2026-07-30,stabmag.com,https://stabmag.com/news/why-ct-surfers-threatened-to-boycott-the-isa-world-games/,20260730_why-ct-surfers-threatened-to,produced
2026-07-31,surfer.com,https://www.surfer.com/news/arran-strong-surfer-death-portugal,20260731_surf-world-mourns-british-pro,produced
2026-07-31,surfer.com,https://www.surfer.com/news/canada-first-wave-pool-scenic-surf-park,20260731_canada-s-first-full-size-wave,produced
2026-07-31,stabmag.com,https://stabmag.com/news/can-karma-decide-who-wins-a-surf-contest/,20260731_can-karma-decide-who-wins,produced
2026-08-01,surfer.com,https://www.surfer.com/news/kelly-slater-daughter-azumi-moon-photos,20260801_kelly-slater-54-welcomes-daughter,produced
2026-08-01,surfer.com,https://www.surfer.com/news/ryder-williams-viral-santa-cruz-rescue-video,20260801_teen-lifeguard-ryder-williams-battles,produced
2026-08-02,stabmag.com,https://stabmag.com/elsewhere/gabriel-medina-gets-married-drops-pregnancy-announcement-in-vows/,20260802_gabriel-medina-gets-married-drops,produced
2026-08-04,stabmag.com,https://stabmag.com/stabcinema/watch-jack-robinson-is-invited-to-the-churrasco/,20260804_watch-jack-robinson-is-invited,produced
2026-08-07,surfertoday.com,https://www.surfertoday.com/surfing/gamification-wave-pools-flowstate-game-modes,20260807_the-gamification-of-wave-pools,produced
2026-08-05,surfertoday.com,https://www.surfertoday.com/surfing/why-surfing-should-borrow-tennis-ranking-system,20260805_why-surfing-should-borrow-tennis,produced
